,total_distance,total_duration
Oued romane,9.6033,14.16
Lot michel,26.193199999999997,33.583333333333336
Blida,91.6473,106.29666666666667
Larbaa,55.511700000000005,62.400000000000006
Soumaa,40.5925,49.36666666666667
Mahelma,35.4229,41.72666666666667
Ouled chebel,35.91030000000001,48.58166666666666
Cherchell,83.78630000000001,91.64
Hraoua,61.4927,63.931666666666665
Baba hassen,19.825499999999998,27.764999999999997
Ain naadja,25.344099999999997,29.356666666666666
Douera,21.0379,26.996666666666663
Fouka,45.533699999999996,56.014999999999986
Ain beniane 1,7.272,9.426666666666666
Ain beniane 2,16.868000000000002,21.10333333333333
Bouinane,56.18129999999999,60.93333333333333
Sidi abdellah,24.0137,31.741666666666667
Zeralda,21.355500000000003,26.073333333333338
Khmiss el khechna ,67.9733,72.48333333333333
Bouzereah 1,17.3054,24.145000000000003
Bouzereah 2,17.1366,17.975
Boumerdes,85.68969999999999,84.53166666666667
Alger centre,28.4739,42.94166666666666
Shaoula,20.7598,25.706666666666663
Tamenfoust,49.6695,65.66666666666667
Ruisseau,24.142400000000002,32.53333333333333
H-dey,22.2926,25.93333333333333
Bachdjerah,28.8442,34.15833333333333
El hamiz,52.012,68.96333333333332
Bab el oued,31.6637,43.06833333333334
Ain malha,28.187800000000003,33.05333333333333
Souidania,18.833499999999997,23.955
total_distance,1170.5763,1170.5763
total_duration,1396.2133333333334,1396.2133333333334
